gene,log2FC,t_stat,p_value,p_adjusted
FBXO41,0.4251487823173591,4.110675323368485,4.901582271480702e-05,0.04901582271480702
CCDC19,0.4250091459588303,4.109261160160368,4.930317586132452e-05,0.049303175861324516
RUNDC3B,-0.4247177057736854,-4.106309813034987,4.990805363074338e-05,0.049908053630743375
DNMT3L,-0.42446814979797887,-4.103782840231642,5.043156300332323e-05,0.05043156300332323
CASQ2,-0.4243410716821011,-4.102496157374861,5.070012739935982e-05,0.05070012739935982
CDO1,-0.4238600819143066,-4.097626526930662,5.172892311547699e-05,0.05172892311547699
FAM178B,0.42294073555507883,4.088321075894147,5.375037142065896e-05,0.05375037142065896
NAALADL2,-0.42278194320663975,-4.086714105747495,5.41069819827481e-05,0.054106981982748104
CNTNAP1,0.42251719777493857,4.084035077066996,5.470650792553281e-05,0.05470650792553281
PAH,-0.4225100768808998,-4.083963016457102,5.4722720953740496e-05,0.0547227209537405
RDH16,-0.4222805244414083,-4.081640301691525,5.524776728532788e-05,0.05524776728532788
FBP1,-0.42224294537120943,-4.0812600837333095,5.533417016891943e-05,0.05533417016891943
TPRG1,-0.4221789908715388,-4.08061300880708,5.548151076194127e-05,0.05548151076194127
RORC,-0.4220890493095013,-4.079703020226329,5.568934908442171e-05,0.05568934908442171
PAGE1,0.42175431457084334,4.076316556461218,5.646933149350885e-05,0.05646933149350885
ACSM2A,-0.4212698811022047,-4.071416294267756,5.7616396485660735e-05,0.057616396485660734
C4BPA,-0.42125705256489343,-4.071286540389373,5.7647068694938835e-05,0.05764706869493884
CYP4A22,-0.4203767178621571,-4.062383602648384,5.978910341747501e-05,0.05978910341747501
CRYAA,-0.42027824214729215,-4.061387864916915,6.003332842493057e-05,0.06003332842493057
C1orf106,0.41966227327741673,4.055160242003759,6.15824334339613e-05,0.061582433433961296
AMDHD1,-0.41916366384823095,-4.050120093015714,6.286390706793666e-05,0.06286390706793665
ASGR2,-0.41884366091883096,-4.0468858058053065,6.369954449327107e-05,0.06369954449327107
CFHR3,-0.41842750465592415,-4.042680184924746,6.480194373880784e-05,0.06480194373880784
MAT1A,-0.41812484855334536,-4.039621960632684,6.561494314636843e-05,0.06561494314636843
GDPD1,0.4180457800394079,4.03882305730675,6.582891544188206e-05,0.06582891544188206
C20orf103,0.41774212140314326,4.035755070151411,6.665680144364999e-05,0.06665680144365
GYS2,-0.41744600076919136,-4.032763542548664,6.747357587608492e-05,0.06747357587608492
SPDYC,-0.41726363855212273,-4.0309214040852686,6.798125527840939e-05,0.06798125527840938
APOC3,-0.4170606748586586,-4.028871272779832,6.855052289253229e-05,0.06855052289253229
CT45A5,0.41683618884726303,4.026603920870522,6.91853808190536e-05,0.06918538081905361
NLRP6,-0.41670214509833015,-4.025250117187156,6.956710478258053e-05,0.06956710478258053
OIP5,0.41635026011594134,4.021696497125428,7.057864042436586e-05,0.07057864042436586
SERPINF2,-0.41590012937555976,-4.01715129008992,7.189280530248551e-05,0.07189280530248551
ZIC2,0.41589731602726526,4.017122875943204,7.190109338184407e-05,0.07190109338184407
FZD7,0.41586812353538555,4.016828135880255,7.198711921654327e-05,0.07198711921654327
CYP8B1,-0.41539742136296093,-4.012075966400274,7.33877038300688e-05,0.0733877038300688
UCHL1,0.4151559167244637,4.009638048853918,7.411622632660251e-05,0.07411622632660252
VNN2,0.41437142159334595,4.001720120576497,7.65300100883922e-05,0.0765300100883922
KCNF1,0.4143702479340048,4.001708275685929,7.653367630103097e-05,0.07653367630103097
HES2,0.41435656508668217,4.001570197224655,7.65764264428468e-05,0.07657642644284679
ITIH4,-0.4142686583791896,-4.000683084238592,7.685162463998453e-05,0.07685162463998453
TCP10L,-0.41386678410371935,-3.9966278707853897,7.812162527861481e-05,0.07812162527861481
ABAT,-0.4132075131187446,-3.989976494062601,8.02479282363258e-05,0.08024792823632579
CTNNA3,-0.413128684186726,-3.989181283045375,8.050578596801707e-05,0.08050578596801707
IQCD,0.412984815365499,3.987730019036682,8.097840634735306e-05,0.08097840634735307
LOC441666,0.41209368962409054,3.978742356707109,8.396451566975203e-05,0.08396451566975202
ALDH6A1,-0.4111616032330449,-3.9693443624680307,8.719856542635937e-05,0.08719856542635937
FGA,-0.410988789072177,-3.967602227307751,8.78109119152033e-05,0.08781091191520331
CYP2C8,-0.4109409037298719,-3.9671195074281997,8.798130455472891e-05,0.08798130455472891
KLHL29,0.4101412920987452,3.9590600533148335,9.087292326815051e-05,0.09087292326815051
PROZ,-0.4096988524162025,-3.9546014952546167,9.251108847907839e-05,0.0925110884790784
ZIC5,0.4096369879235037,3.9539781209429385,9.27423484321658e-05,0.09274234843216579
CHRNA5,0.40949859810165734,3.952583707139905,9.326163579686803e-05,0.09326163579686804
LOC388387,-0.40924766070611646,-3.9500554077799697,9.42102285619447e-05,0.0942102285619447
SYBU,-0.4083695517674188,-3.941209683776493,9.760156920798678e-05,0.09760156920798678
ABCB4,-0.4083659418373109,-3.941173316064556,9.76157481164432e-05,0.0976157481164432
LECT2,-0.4081268402948083,-3.9387651291717964,9.855900155088319e-05,0.0985590015508832
SLC22A3,-0.4080057766603269,-3.9375458821634046,9.90398523821607e-05,0.0990398523821607
BOP1,0.4077255519818508,3.9347238667552524,0.00010016135373286065,0.10016135373286066
LPA,-0.40664211212505086,-3.92381538920795,0.00010461074207438499,0.10461074207438499
BAIAP2L2,0.4066355032890944,3.923748862910605,0.00010463844305428321,0.10463844305428321
ASNS,0.4055239345736812,3.912561125727202,0.00010939711189781848,0.10939711189781848
C8orf80,-0.4052446223108669,-3.9097505182436554,0.00011062442544563383,0.11062442544563383
C3orf55,0.40330744399299245,3.8902643489402893,0.00011949913374574297,0.11949913374574297
LOC399815,0.4031878780234439,3.8890620230800095,0.00012006823419768367,0.12006823419768367
SERPINC1,-0.403061929283006,-3.8877955465928338,0.00012067047399941294,0.12067047399941294
AMBP,-0.40305746527580544,-3.8877506698565334,0.00012069186633754345,0.12069186633754345
BRSK1,0.4030000056920968,3.8871729123939094,0.00012096759902975363,0.12096759902975363
HK2,0.40284343972207715,3.8855986722782485,0.00012172192922070362,0.12172192922070361
SULT2A1,-0.4027580294716794,-3.884739923474302,0.0001221352918129382,0.1221352918129382
PLAUR,0.4025809721905427,3.882959814179376,0.00012299639195740197,0.12299639195740197
ZBTB16,-0.40236510837840467,-3.880789659720305,0.00012405394542026912,0.12405394542026911
TFF2,0.40195959650939234,3.8767133145669295,0.00012606372925950786,0.12606372925950787
ANO1,-0.4018645895696453,-3.8757583515247385,0.0001265389958757609,0.12653899587576092
CFHR2,-0.4017353361016984,-3.874459199785432,0.00012718828205990975,0.12718828205990976
JMJD5,-0.40165884678626873,-3.8736904259288303,0.0001275739812992287,0.1275739812992287
FAM24B,0.40144711000123867,3.871562385744964,0.00012864741553040998,0.12864741553040998
C12orf36,0.4013584038144311,3.8706708904945777,0.00012909964280344736,0.12909964280344735
TSC22D3,-0.40135350508627826,-3.8706216650476093,0.0001291246570898051,0.1291246570898051
CPN2,-0.40114754958237453,-3.868551918029707,0.00013018057553797752,0.13018057553797752
CYP2C19,-0.40060746978485356,-3.8631250527478964,0.0001329881239675568,0.1329881239675568
TNFRSF11B,0.39972999797608516,3.854309939590238,0.00013767101109722163,0.13767101109722163
